Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
2025-08-22,28.5,64.7,35.6,75.6,Tillering,Organic Compost,33.9,Improves soil structure and moisture retention,Ensure soil testing before application.,10.96,1695.0
2025-11-19,34.0,34.4,31.9,86.8,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,9.46,2882.0
2025-07-23,27.7,49.5,35.7,73.5,Tillering,Urea,36.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.04,4392.0
2025-07-26,29.0,27.9,31.5,84.0,Flowering,Copper Sulphate,6.2,Micronutrient for enzyme activation,Ensure soil testing before application.,8.88,2480.0
2025-02-02,33.1,35.7,31.9,90.2,Tillering,Biochar,25.5,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.66,2550.0
2025-10-23,32.9,57.3,31.4,77.6,Flowering,Iron Chelate,7.4,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.98,3330.0
2025-09-30,32.9,33.4,35.7,83.0,Panicle Initiation,Urea,20.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.5,2460.0
2025-06-28,28.3,47.6,34.9,81.3,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.79,2675.0
2025-07-03,23.2,73.1,34.5,79.5,Panicle Initiation,Urea,18.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.6,2232.0
2025-10-05,22.9,66.8,31.6,65.9,Flowering,Zinc Sulphate,8.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.64,2580.0
2025-06-05,33.6,71.3,34.5,83.1,Panicle Initiation,Urea,22.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,11.11,2688.0
2025-09-03,25.4,53.1,29.4,75.5,Seedling,Calcium Nitrate,17.0,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.79,3400.0
2025-01-27,31.6,69.9,31.9,65.9,Seedling,Magnesium Sulphate,17.1,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,10.51,3078.0
2025-12-18,23.2,31.9,29.0,86.2,Seedling,Calcium Nitrate,17.2,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,8.72,3440.0
2025-06-29,31.5,43.0,32.4,89.5,Flowering,Boron,4.6,Micronutrient for flower formation,Maintain irrigation schedule to avoid fertilizer runoff.,9.51,2300.0
2025-06-14,32.2,39.2,30.7,83.2,Harvest,Phosphate Rock,20.6,Slow-release phosphorus,Ensure soil testing before application.,9.76,1854.0
2025-03-31,23.7,39.9,31.1,84.5,Panicle Initiation,Potash,20.2,Potassium for stress tolerance,Prefer organic alternatives where possible.,9.49,3232.0
2025-02-27,25.4,40.7,28.5,84.3,Panicle Initiation,Humic Acid,13.9,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.38,3058.0
2025-02-22,31.8,43.6,32.1,65.0,Seedling,DAP,20.1,Phosphorus for root development,Ensure soil testing before application.,9.4,3015.0
2025-04-22,32.3,62.4,30.0,90.6,Flowering,Boron,5.7,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.44,2850.0
2025-03-16,27.8,36.6,26.6,62.9,Seedling,Magnesium Sulphate,15.0,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,8.53,2700.0
2025-12-28,27.8,50.6,29.7,80.8,Flowering,Iron Chelate,8.5,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.7,3825.0
2025-06-20,32.5,73.8,31.7,86.7,Harvest,Green Manure,21.6,Nitrogen enrichment from legumes,Ensure soil testing before application.,11.24,648.0
2025-05-23,28.3,34.4,29.6,79.9,Harvest,Green Manure,22.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.11,687.0
2025-10-13,33.9,56.2,34.9,65.1,Flowering,MOP,27.8,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.18,3614.0
2025-12-06,33.6,43.8,27.2,60.9,Seedling,Urea,21.6,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.28,2592.0
2025-02-10,27.6,31.7,30.3,80.3,Seedling,Urea,27.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.23,3252.0
2025-09-24,30.6,56.1,29.6,80.1,Flowering,Boron,4.8,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.83,2400.0
2025-11-19,26.0,39.8,34.0,80.6,Seedling,Ammonium Sulphate,24.1,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.36,3374.0
2025-11-21,24.7,57.2,31.6,81.0,Seedling,DAP,17.7,Phosphorus for root development,Prefer organic alternatives where possible.,10.1,2655.0
2025-04-13,27.8,32.2,30.1,85.0,Flowering,Iron Chelate,9.1,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,8.81,4095.0
2025-09-28,23.1,52.8,29.4,76.2,Tillering,MOP,18.7,Potassium for stem and disease resistance,Ensure soil testing before application.,9.51,2431.0
2025-10-07,28.7,31.1,35.5,84.8,Panicle Initiation,DAP,25.6,Phosphorus for root development,Use split application to reduce leaching.,9.49,3840.0
2025-12-02,29.0,73.4,34.7,72.1,Panicle Initiation,Potash,19.8,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.79,3168.0
2025-03-03,32.6,37.3,34.7,69.6,Panicle Initiation,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,9.46,3270.0
2025-08-01,31.1,28.6,35.5,79.2,Tillering,Organic Compost,30.4,Improves soil structure and moisture retention,Ensure soil testing before application.,9.44,1520.0
2025-08-14,31.1,51.3,28.4,80.8,Panicle Initiation,Seaweed Extract,10.3,Growth stimulant and micronutrients,Ensure soil testing before application.,9.7,2575.0
2025-04-22,32.1,30.5,32.7,76.5,Seedling,Urea,26.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.21,3180.0
2025-11-18,27.7,34.0,34.9,91.4,Panicle Initiation,DAP,25.6,Phosphorus for root development,Prefer organic alternatives where possible.,9.76,3840.0
2025-11-15,27.0,60.8,27.0,63.9,Panicle Initiation,DAP,21.7,Phosphorus for root development,Prefer organic alternatives where possible.,9.94,3255.0
2025-08-29,25.6,41.1,34.4,72.7,Tillering,Biochar,23.6,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.36,2360.0
2025-04-24,33.6,29.4,29.8,88.2,Harvest,Phosphate Rock,20.4,Slow-release phosphorus,Ensure soil testing before application.,9.23,1836.0
2025-01-29,33.7,73.9,34.4,73.3,Panicle Initiation,Humic Acid,14.8,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.86,3256.0
2025-11-12,23.0,72.0,26.8,80.8,Harvest,Green Manure,19.3,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.28,579.0
2025-07-27,33.4,44.3,33.0,82.3,Flowering,Iron Chelate,9.2,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.91,4140.0
2025-11-18,23.5,28.3,27.9,62.5,Tillering,Urea,33.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,8.73,3972.0
2025-11-26,31.7,35.2,35.7,83.5,Flowering,Iron Chelate,9.0,Iron supply to prevent chlorosis,Use split application to reduce leaching.,9.48,4050.0
2025-05-22,27.4,53.3,30.3,68.4,Flowering,MOP,26.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.76,3406.0
2025-11-09,31.1,39.0,33.4,85.1,Seedling,DAP,19.7,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.79,2955.0
2025-09-18,33.2,31.2,32.1,86.0,Tillering,MOP,18.4,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.4,2392.0
2025-08-07,26.1,67.5,32.9,64.4,Tillering,Compost Tea,20.7,Enhances microbial activity,Ensure soil testing before application.,10.14,1656.0
2025-10-13,22.2,41.0,33.8,74.2,Tillering,Organic Compost,28.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.32,1410.0
2025-10-01,23.9,47.0,30.8,80.5,Seedling,DAP,17.1,Phosphorus for root development,Prefer organic alternatives where possible.,9.36,2565.0
2025-11-02,32.8,49.6,35.8,93.3,Tillering,Organic Compost,31.7,Improves soil structure and moisture retention,Ensure soil testing before application.,10.51,1585.0
2025-04-11,30.0,33.7,33.4,61.3,Panicle Initiation,Potash,21.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,8.97,3376.0
2025-08-02,31.0,37.8,26.3,76.1,Tillering,Biochar,28.0,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.24,2800.0
2025-10-26,27.5,51.8,31.3,74.2,Seedling,Ammonium Sulphate,20.5,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,9.86,2870.0
2025-08-13,28.6,62.2,31.2,68.0,Seedling,Calcium Nitrate,19.9,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,9.99,3980.0
2025-02-16,25.6,43.0,29.2,69.0,Panicle Initiation,Urea,18.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.1,2256.0
2025-10-24,25.9,55.8,34.4,79.2,Flowering,MOP,23.2,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.99,3016.0
2025-02-15,33.9,61.3,32.0,88.4,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Ensure soil testing before application.,10.66,2926.0
2025-08-02,24.1,57.9,29.4,73.8,Panicle Initiation,Urea,20.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.89,2412.0
2025-07-25,26.0,40.3,30.0,94.1,Tillering,Organic Compost,34.3,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.89,1715.0
2025-06-24,32.5,36.4,31.3,63.8,Tillering,Biochar,24.3,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.4,2430.0
2025-02-21,24.7,28.7,31.6,70.7,Panicle Initiation,Humic Acid,13.8,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.36,3036.0
2025-07-11,32.5,51.9,28.7,67.8,Panicle Initiation,Seaweed Extract,9.2,Growth stimulant and micronutrients,Use split application to reduce leaching.,9.43,2300.0
2025-09-24,31.1,39.2,33.7,86.8,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.48,2754.0
2025-05-29,23.6,38.1,33.9,62.3,Tillering,Compost Tea,17.2,Enhances microbial activity,Maintain irrigation schedule to avoid fertilizer runoff.,8.91,1376.0
2025-08-30,27.1,45.1,26.2,65.8,Panicle Initiation,Humic Acid,14.1,Soil conditioner and nutrient uptake,Ensure soil testing before application.,8.85,3102.0
2025-02-27,30.6,68.5,30.8,68.6,Tillering,Biochar,28.1,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,10.72,2810.0
2025-07-30,25.1,25.7,31.8,87.2,Panicle Initiation,Potash,19.0,Potassium for stress tolerance,Prefer organic alternatives where possible.,9.02,3040.0
2025-08-25,29.5,41.3,31.1,87.4,Tillering,Compost Tea,18.7,Enhances microbial activity,Ensure soil testing before application.,9.79,1496.0
2025-12-29,27.5,29.8,27.2,88.3,Seedling,DAP,20.8,Phosphorus for root development,Prefer organic alternatives where possible.,8.91,3120.0
2025-10-28,31.3,30.8,33.4,68.7,Panicle Initiation,Urea,19.0,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,8.99,2280.0
2025-04-20,27.1,72.7,28.1,70.2,Seedling,DAP,20.8,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.56,3120.0
2025-08-16,26.3,71.3,26.5,79.2,Panicle Initiation,Humic Acid,16.7,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,10.34,3674.0
2025-03-24,25.5,40.8,35.6,78.1,Panicle Initiation,Urea,19.9,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.44,2388.0
2025-01-20,31.9,67.2,34.6,77.6,Seedling,Urea,28.0,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,11.06,3360.0
2025-05-18,26.4,62.1,28.3,93.9,Tillering,Organic Compost,34.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.6,1715.0
2025-04-20,24.8,68.6,34.2,62.4,Panicle Initiation,Urea,21.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.31,2616.0
2025-09-09,22.2,65.7,33.0,84.1,Seedling,Urea,23.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.53,2796.0
2025-12-13,27.1,73.2,31.7,75.5,Tillering,MOP,20.6,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.62,2678.0
2025-10-11,29.6,44.6,26.1,69.5,Panicle Initiation,Seaweed Extract,9.8,Growth stimulant and micronutrients,Use split application to reduce leaching.,9.14,2450.0
2025-11-04,26.5,60.0,28.4,64.4,Harvest,Organic Compost,14.6,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.57,730.0
2025-06-20,25.8,65.5,34.6,88.4,Harvest,Green Manure,20.5,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.53,615.0
2025-02-24,24.8,46.8,33.8,86.0,Flowering,Zinc Sulphate,10.4,Improves grain quality and resistance,Use split application to reduce leaching.,9.74,3120.0
2025-09-25,29.5,58.3,35.5,67.0,Flowering,Iron Chelate,8.1,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.89,3645.0
2025-03-04,28.6,67.4,26.7,90.8,Tillering,Biochar,25.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.91,2510.0
2025-04-01,26.4,25.0,31.6,89.3,Tillering,Organic Compost,33.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.2,1680.0
2025-02-25,28.1,28.9,31.9,84.1,Harvest,Green Manure,21.2,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.19,636.0
2025-12-06,32.9,70.9,29.4,81.9,Harvest,Organic Compost,14.7,Improves soil structure and moisture retention,Ensure soil testing before application.,10.93,735.0
2025-11-12,30.3,33.8,34.7,63.9,Tillering,Urea,37.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.25,4488.0
2025-10-13,30.7,34.0,26.7,83.9,Seedling,Magnesium Sulphate,17.0,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.32,3060.0
2025-03-23,22.7,60.2,28.4,76.8,Tillering,MOP,22.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2951.0
2025-03-12,24.1,28.5,35.6,87.2,Seedling,Urea,22.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.21,2736.0
2025-12-16,31.8,61.4,34.1,67.5,Seedling,Urea,23.3,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.56,2796.0
2025-06-09,32.4,65.7,30.3,94.5,Flowering,Iron Chelate,8.2,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.53,3690.0
2025-07-18,32.9,52.3,33.5,70.5,Tillering,Urea,31.5,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.31,3780.0
2025-12-07,31.7,33.2,26.1,92.2,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.68,1430.0
2025-09-24,28.8,62.9,34.7,64.3,Seedling,Magnesium Sulphate,14.2,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,10.11,2556.0
2025-03-02,28.6,37.1,30.9,91.5,Flowering,Copper Sulphate,7.7,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.14,3080.0
2025-12-01,24.5,31.2,26.4,93.0,Tillering,Compost Tea,21.4,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.22,1712.0
2025-11-05,30.0,50.2,28.2,63.8,Panicle Initiation,Seaweed Extract,8.7,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.38,2175.0
2025-06-01,25.7,31.1,31.4,70.8,Harvest,Green Manure,22.7,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.98,681.0
2025-09-09,25.6,73.8,26.7,83.2,Tillering,Urea,37.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.91,4524.0
2025-02-08,27.3,25.5,35.6,85.4,Panicle Initiation,Humic Acid,17.0,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.9,3740.0
2025-06-26,32.4,68.0,35.2,84.5,Tillering,Organic Compost,33.8,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,11.36,1690.0
2025-07-15,30.0,66.4,31.2,80.2,Flowering,MOP,28.3,Potassium for stem and disease resistance,Ensure soil testing before application.,10.74,3679.0
2025-01-07,25.8,72.8,31.6,92.9,Tillering,Biochar,27.8,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,11.02,2780.0
2025-09-03,32.4,36.6,28.8,80.2,Flowering,Copper Sulphate,7.0,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,9.38,2800.0
2025-02-25,29.5,31.1,35.9,63.6,Harvest,Phosphate Rock,16.5,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.05,1485.0
2025-03-11,26.1,73.9,33.6,76.3,Tillering,Urea,33.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,11.13,3972.0
2025-10-21,24.8,70.1,26.6,89.7,Seedling,Urea,25.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.54,3096.0
2025-07-17,28.6,66.1,31.8,74.5,Harvest,Green Manure,20.3,Nitrogen enrichment from legumes,Avoid chemical overuse; combine with compost.,10.32,609.0
2025-07-13,25.7,44.9,33.3,92.8,Seedling,Urea,21.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.67,2556.0
2025-10-13,24.5,65.9,27.8,77.6,Seedling,Ammonium Sulphate,22.3,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.15,3122.0
2025-11-22,26.7,25.6,29.7,85.9,Seedling,DAP,19.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.03,2940.0
2025-10-05,29.8,64.6,34.6,64.4,Harvest,Green Manure,19.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.12,582.0
2025-07-26,22.5,40.3,33.0,77.0,Seedling,Magnesium Sulphate,14.8,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.19,2664.0
2025-02-08,30.4,61.5,30.0,76.3,Seedling,Ammonium Sulphate,23.0,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.23,3220.0
2025-05-07,23.5,56.5,27.9,93.1,Panicle Initiation,DAP,25.6,Phosphorus for root development,Ensure soil testing before application.,9.97,3840.0
2025-08-16,23.7,52.1,33.7,75.3,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.65,2730.0
2025-07-18,28.8,41.4,26.9,92.4,Tillering,Biochar,23.4,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.71,2340.0
2025-03-25,23.3,47.8,33.3,71.6,Seedling,DAP,21.9,Phosphorus for root development,Ensure soil testing before application.,9.4,3285.0
2025-12-23,26.5,36.3,31.0,83.2,Panicle Initiation,Seaweed Extract,11.0,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,9.29,2750.0
2025-07-18,24.0,50.9,26.9,60.0,Panicle Initiation,DAP,22.7,Phosphorus for root development,Ensure soil testing before application.,9.24,3405.0
2025-10-25,31.5,27.7,31.3,73.9,Panicle Initiation,Seaweed Extract,11.4,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,8.84,2850.0
2025-11-15,23.0,27.4,26.8,94.0,Tillering,Biochar,25.6,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,8.99,2560.0
2025-04-04,23.6,54.2,35.1,79.3,Harvest,Organic Compost,15.8,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.69,790.0
2025-03-03,27.5,67.0,27.0,67.9,Panicle Initiation,Humic Acid,13.9,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.91,3058.0
2025-07-12,22.3,43.3,27.8,66.2,Tillering,MOP,17.0,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,8.82,2210.0
2025-05-22,27.6,45.8,29.3,89.6,Tillering,Organic Compost,28.8,Improves soil structure and moisture retention,Ensure soil testing before application.,10.06,1440.0
2025-03-10,24.9,56.8,33.9,93.4,Flowering,Zinc Sulphate,11.2,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,10.27,3360.0
2025-07-26,25.3,26.9,31.5,63.4,Panicle Initiation,Seaweed Extract,9.5,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,8.08,2375.0
2025-07-12,31.5,51.5,27.1,82.5,Panicle Initiation,Humic Acid,14.2,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.78,3124.0
2025-02-11,28.7,43.1,32.8,88.8,Tillering,Biochar,24.7,Improves soil fertility and carbon retention,Ensure soil testing before application.,9.96,2470.0
2025-02-24,27.9,51.1,30.2,84.7,Panicle Initiation,Potash,19.3,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,9.89,3088.0
2025-03-27,32.8,36.2,30.8,91.4,Tillering,MOP,20.5,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.82,2665.0
2025-09-23,24.4,46.9,33.9,75.8,Panicle Initiation,Seaweed Extract,10.5,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.39,2625.0
2025-10-21,32.7,53.2,34.2,87.0,Seedling,DAP,20.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.6,3090.0
2025-09-02,31.3,48.2,26.7,77.5,Flowering,Iron Chelate,7.4,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.44,3330.0
2025-12-26,32.3,38.2,30.7,85.7,Seedling,DAP,18.1,Phosphorus for root development,Prefer organic alternatives where possible.,9.81,2715.0
2025-05-17,30.2,56.4,35.6,88.8,Flowering,Iron Chelate,8.7,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.09,3915.0
2025-02-26,23.5,58.1,28.5,81.5,Tillering,MOP,22.8,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.97,2964.0
2025-12-15,33.8,65.7,35.9,80.9,Flowering,Zinc Sulphate,10.7,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.61,3210.0
2025-09-06,23.4,45.3,32.8,75.7,Tillering,Urea,36.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.76,4428.0
2025-10-27,33.6,45.5,32.8,64.4,Harvest,Organic Compost,13.4,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.48,670.0
2025-06-08,29.6,62.8,35.8,71.2,Panicle Initiation,Seaweed Extract,9.4,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,10.32,2350.0
2025-01-16,31.9,48.5,31.3,82.0,Flowering,MOP,23.6,Potassium for stem and disease resistance,Ensure soil testing before application.,10.14,3068.0
2025-07-09,24.8,56.5,26.8,71.1,Seedling,Calcium Nitrate,16.1,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,9.57,3220.0
2025-11-25,32.7,73.7,34.1,66.5,Panicle Initiation,Seaweed Extract,11.1,Growth stimulant and micronutrients,Prefer organic alternatives where possible.,10.8,2775.0
2025-01-03,33.4,39.8,34.5,79.2,Tillering,Compost Tea,20.3,Enhances microbial activity,Prefer organic alternatives where possible.,9.98,1624.0
2025-02-28,23.5,35.0,30.4,93.0,Seedling,Ammonium Sulphate,19.5,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,9.2,2730.0
2025-11-13,25.1,65.0,31.9,81.3,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,2680.0
2025-02-18,22.2,69.1,30.6,76.5,Harvest,Organic Compost,17.2,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.25,860.0
2025-04-08,28.3,46.1,27.2,81.5,Panicle Initiation,Urea,18.2,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.69,2184.0
2025-04-10,27.3,53.3,34.3,65.7,Panicle Initiation,DAP,23.4,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.82,3510.0
2025-12-11,24.2,51.9,30.3,60.6,Harvest,Phosphate Rock,17.6,Slow-release phosphorus,Ensure soil testing before application.,9.37,1584.0
2025-04-28,24.2,44.3,31.1,80.9,Flowering,Iron Chelate,8.3,Iron supply to prevent chlorosis,Ensure soil testing before application.,9.15,3735.0
2025-12-29,32.6,73.5,29.5,61.7,Tillering,Urea,36.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.73,4428.0
2025-04-18,22.5,61.0,29.3,77.0,Harvest,Phosphate Rock,20.1,Slow-release phosphorus,Prefer organic alternatives where possible.,9.89,1809.0
2025-04-24,33.6,60.6,26.8,90.4,Panicle Initiation,Urea,18.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.62,2196.0
2025-06-27,26.4,46.7,33.2,60.1,Panicle Initiation,Potash,19.0,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.4,3040.0
2025-12-21,27.9,56.5,29.7,81.7,Panicle Initiation,Urea,18.6,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.98,2232.0
2025-03-11,22.8,54.2,26.3,77.2,Flowering,Iron Chelate,7.8,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.11,3510.0
2025-06-28,26.1,73.9,27.4,77.1,Seedling,Ammonium Sulphate,22.7,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,10.65,3178.0
2025-10-17,30.7,39.8,26.7,63.8,Flowering,Iron Chelate,7.2,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.68,3240.0
2025-12-01,25.7,60.9,34.5,75.7,Harvest,Green Manure,18.9,Nitrogen enrichment from legumes,Ensure soil testing before application.,10.25,567.0
2025-08-30,23.1,26.7,26.4,64.8,Flowering,Copper Sulphate,6.2,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,8.07,2480.0
2025-06-12,28.4,64.9,33.2,79.6,Panicle Initiation,Potash,21.7,Potassium for stress tolerance,Use split application to reduce leaching.,10.53,3472.0
2025-02-06,31.1,50.7,31.2,71.6,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,9.73,2926.0
2025-07-29,26.4,72.6,32.6,69.9,Flowering,Zinc Sulphate,9.4,Improves grain quality and resistance,Ensure soil testing before application.,10.41,2820.0
2025-02-24,23.4,27.8,31.5,74.7,Seedling,Urea,28.2,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,8.93,3384.0
2025-01-14,32.4,49.8,29.8,64.4,Panicle Initiation,Humic Acid,15.6,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.78,3432.0
2025-02-10,24.9,62.0,34.4,85.4,Seedling,Calcium Nitrate,19.2,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.17,3840.0
2025-07-10,25.3,54.3,30.4,62.9,Seedling,Magnesium Sulphate,14.0,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.34,2520.0
